51,,FAST School of Management,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Classes' Schedule for Semester: Fall-2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wednesday,Classes,A-01,AF4005 Audit & Assurance,,,,,,,AF07A,,AF4005 Audit & Assurance,,,,,,,AF07B,,MG2009 Data Analysis for Business II,,,,,,,BBA03D,,MG2009 Data Analysis for Business II,,,,,,,BBA03C,,MS,,,,,,,,,,,,,,,,
,,A-02,MG4011 Entrepreneurship,,,,,,,AF07B,,MG4011 Entrepreneurship,,,,,,,AF07A,,SS2043 Civics and Community Engagement  (11:30-01:20),,,,,,,,,,,BBA03B,,,,,,,MG3002 Business Law,,,,,,,AF05C,,MG3003 Basic Econometrics,,,,,,,AF05C
,,A-03,MG2003 Consumer Behaviour,,,,,,,BBA05A,,MG2003 Consumer Behaviour,,,,,,,BBA05B,,MG2001 Organizational Behaviour,,,,,,,BBA03C,,MG2001 Organizational Behaviour,,,,,,,BBA03D,,MG2012 Business Economics,,,,,,,BBA03B,,MG2012 Business Economics,,,,,,,BBA03A
,,A-04,AF 3001 Financial Management,,,,,,,BBA05B,,MG3006 Operations Management,,,,,,,BBA05C,,,,,,,,,,,,,,,,,,,,SS2043 Civics and Community Engagement (02:25-04:15),,,,,,,,,,,,BBA03C,,,,
,,A-101,,,,,,,,,,MG4003 Strategic Management,,,,,,,BBA07A,,MG4003 Strategic Management,,,,,,,BBA07B,,AF3003 Financial Institutions & Markets,,,,,,,BBA07A,,AF3003 Financial Institutions & Markets,,,,,,,BBA07B,,,,,,,,,
,,A-102,MG1001 Fundamental of Management,,,,,,,BSBA01D,,MG2003 Consumer Behaviour,,,,,,,BSBA05B,,SS1016 English - I (11:30-01:20),,,,,,,,,,,,AF01B,,,,,,AF4017 Digital Assets and Cryptocurrencies; Conventional and Shariah Perspectives,,,,,,,FT07A/B,,AF4017 Digital Assets and Cryptocurrencies; Conventional and Shariah Perspectives,,,,,,,FT07A/B
,,A-103,MG1011 Business Mathematics,,,,,,,AF01B,,MG1011 Business Mathematics,,,,,,,AF01A,,SS1015 Pakistan Studies (11:30-01:20),,,,,,,,,,,,AF01A,,,,,,,,,,,,,,,MG3004 Human Resource Management,,,,,,,BBA05C
,,A-104,AF2003 Management Accounting,,,,,,,BBA03B,,AF2003 Management Accounting,,,,,,,BBA03A,,SS1022 U-Holy Quran-I&II  (11:30-01:20),,,,,,,,,,,,AF03A,,,,,,AF1003 Intro to Financial Accounting,,,,,,,FT01A,,,,,,,,,
,,A- 201,MG1011 Business Mathematics,,,,,,,FT01A,,MG1002 Marketing Management,,,,,,,FT01A,,MG4011 Entreprenureship,,,,,,,BSBA07B,,MG4011 Entreprenureship,,,,,,,BSBA07A,,MG2012 Business Economics,,,,,,,AF03A,,MG2011 Environmental Science and Sustainability for Business,,,,,,,AF03A
,,A- 202,MG1002 Marketing Management,,,,,,,FT01B,,MG1011 Business Mathematics,,,,,,,FT01B,,BA3002 Business Data and Text Mining,,,,,,,BSBA07A,,BA3002 Business Data and Text Mining,,,,,,,BSBA07B,,MG2011 Environmental Science and Sustainability for Business,,,,,,,AF03B,,MG2012 Business Economics,,,,,,,AF03B
,,A- 203,,,,,,,,,,AF2004 Business Finance,,,,,,,FT03A,,AF2004 Business Finance,,,,,,,FT03B,,AF1003 Intro to Financial Accounting,,,,,,,FT01B,,CS3003 Management Information System,,,,,,,AF05A,,CS3003 Management Information System,,,,,,,AF05B
